inputtool,outputtools
Remove beginning1,"Grouping1,cat1,tp_cut_tool,comp1, ggplot2_point, Paste1,addName,Convert characters1,tp_awk_tool,cor2,mass_spectrometry_imaging_qc,edger,tp_replace_in_column,openbabel_filter,Grep1,plotly_ml_performance_plots,tp_cat,tp_replace_in_line,iReport,tp_head_tool,htseq_count,ggplot2_point,Add_a_column1,wc_gnu,climate_stripes,cshl_awk_tool,join_files_on_column_fuzzy,Summary_Statistics1,Filter1,collection_column_join,unipept,datamash_transpose,XY_Plot_1,addValue,datamash_ops,Cut1,pathview,tab2fasta,tp_split_on_column,Grouping1,mass_spectrometry_imaging_ion_images,mass_spectrometry_imaging_filtering,sort1,get_sequences,plotly_regression_performance_plots,tp_sorted_uniq,chipeakanno_annopeaks,cardinal_classification,Show beginning1,tp_easyjoin_tool,tp_sort_header_tool,htseq-count,Remove_ending,mergeCols1,eggnog_mapper,join1,__TAG_FROM_FILE__,cardinal_spectra_plots,trim_galore"
addValue,"cat1,comp1,Convert characters1,gops_intersect_1,cardinal_combine,tp_cut_tool,tp_cat,tp_head_tool,Remove beginning1,mass_spectrometry_imaging_combine,Add_a_column1,cshl_find_and_replace,CONVERTER_interval_to_bed_0,wc_gnu,bedtools_intersectbed,Filter1,addValue,Cut1,tab2fasta,Grouping1,tp_grep_tool,mass_spectrometry_imaging_filtering,sort1,bedtools_getfastabed,column_order_header_sort,tp_easyjoin_tool,tp_sort_header_tool,tp_find_and_replace,tp_multijoin_tool,mergeCols1,join1,gops_join_1,cshl_awk_replace_in_column"
cat1,"checkFormat,fasta2tab,cshl_awk_replace_in_column,Paste1,regionalgam_ab_index,Convert characters1,mothur_phylotype,Datamash,cardinal_combine,tp_cut_tool,table_compute,rna_star,barchart_gnuplot,fastq_filter,fastqc,Grep1,stoceps_trend_indic,ggplot2_point,mass_spectrometry_imaging_combine,Add_a_column1,wc_gnu,ggplot_histogram,bedtools_sortbed,Filter1,datamash_transpose,XY_Plot_1,heatmap2,addValue,datamash_ops,annotatemyids,Cut1,cshl_fastx_renamer,w4mclassfilter,bg_uniq,ete_homology_classifier,Grouping1,melt,p_clip_peaks,cshl_fastq_to_fasta,sort1,trinity,cshl_fastx_barcode_splitter,_ensembl_gtf2gene_list,tp_sorted_uniq,trimmomatic,regionalgam_flight_curve,column_order_header_sort,ggplot2_heatmap2,hgv_david,gops_merge_1,fastq_to_tabular,cshl_fastx_trimmer,tp_easyjoin_tool,tp_sort_header_tool,tp_find_and_replace,proteomics_moff,sam_to_bam,fastq_groomer,mergeCols1,join1,__TAG_FROM_FILE__,cast,ggplot2_histogram,aragorn_trna,CONVERTER_bed_gff_or_vcf_to_bigwig_0,trim_galore,hgv_linkToGProfile,filter_by_fasta_ids"
datamash_transpose,"tsne,Remove beginning1,tp_easyjoin_tool,tp_sort_header_tool,tp_find_and_replace,Add_a_column1,Paste1,Heatmap,cor2,sort1,tp_multijoin_tool,anndata_import,join1,collection_column_join,heatmap2,ggplot2_heatmap2,Cut1,Grep1,tp_sed_tool"
Add_a_column1,"cat1,comp1,get_flanks1,Paste1,gops_intersect_1,tp_replace_in_column,tp_cut_tool,table_compute,barchart_gnuplot,cardinal_filtering,tp_cat,ggplot2_point,DatamashOps,wc_gnu,join_files_on_column_fuzzy,Summary_Statistics1,Filter1,bedtools_intersectbed,XY_Plot_1,addValue,datamash_ops,histogram_rpy,Cut1,aggregate_scores_in_intervals2,tp_sed_tool,Grouping1,tp_grep_tool,sort1,param_value_from_file,ChangeCase,scatterplot_rpy,tp_easyjoin_tool,tp_sort_header_tool,featurecounts,tp_multijoin_tool,mergeCols1,join1"
Show beginning1,"gtf_filter_by_attribute_values_list,cat1,comp1,bwa_wrapper,Convert characters1,random_lines1,tp_cut_tool,rna_star,fastqc,tophat2,plotly_ml_performance_plots,tp_cat,sklearn_ensemble,Remove beginning1,Add_a_column1,hisat2,wc_gnu,datamash_transpose,collection_column_join,addValue,Cut1,tab2fasta,column_remove_by_header,Show tail1,meme_meme,ctb_ob_genProp,ctb_chemfp_mol2fps,ctb_subsearch,ggplot2_heatmap2,hgv_david,tophat,cshl_fastx_trimmer,tp_easyjoin_tool,tp_sort_header_tool,tp_find_and_replace,join1,trim_galore,ctb_multi_obgrep,bowtie2,cutadapt"
Show tail1,"tp_replace_in_line,fasterq_dump,tp_easyjoin_tool,Grouping1,comp1,Convert characters1,CONVERTER_interval_to_bed_0,Filter1,ggplot2_heatmap2,histogram_rpy,tp_cat"
Convert characters1,"cat1,comp1,Paste1,tp_cut_tool,regex_replace,DatamashTranspose,tp_head_tool,Remove beginning1,DatamashOps,wc_gnu,Summary_Statistics1,Filter1,collection_column_join,datamash_transpose,addValue,trimmer,Cut1,tab2fasta,Grouping1,uniprot,query_tabular,scater_create_qcmetric_ready_sce,tables_arithmetic_operations,Count1,tp_easyjoin_tool,tp_sort_header_tool,tp_find_and_replace,raceid_filtnormconf,mergeCols1,join1,sklearn_feature_selection"
Grouping1,"cat1,comp1,Paste1,Convert characters1,tp_awk_tool,tp_replace_in_column,barchart_gnuplot,tp_cat,tp_head_tool,Add_a_column1,DatamashOps,wc_gnu,Filter1,collection_column_join,addValue,Cut1,tab2fasta,sort1,query_tabular,Show beginning1,charts,tp_easyjoin_tool,tp_sort_header_tool,tp_multijoin_tool,mergeCols1,join1,__MERGE_COLLECTION__"
collection_column_join,"tp_replace_in_line,tp_easyjoin_tool,Grouping1,comp1,crosscontamination_barcode_filter,query_tabular,Filter1,edger,datamash_transpose,join1,tp_cut_tool,regex1,column_order_header_sort,regex_replace,annotatemyids,Cut1,limma_voom,tp_sed_tool"
regex_replace,"stacks_populations,Paste1,Grep1,Remove beginning1,cshl_find_and_replace,Add_a_column1,DatamashOps,bedtools_intersectbed,datamash_transpose,addValue,Cut1,tab2fasta,tp_grep_tool,melt,stacks_denovomap,fastq_groomer,tp_tail_tool,gtftobed12,flashlfq,__TAG_FROM_FILE__,stacks_refmap"
melt,"Remove beginning1,tp_easyjoin_tool,join1,Show beginning1,datamash_ops,tp_head_tool"
fastqc,"snpEff,__UNZIP_COLLECTION__,fastq_to_fasta_python,stringtie,tophat2,Grep1,tp_cat,__FLATTEN__,tp_head_tool,bwa,snpSift_annotate,cshl_awk_tool,multiqc,genomespace_exporter,CONVERTER_gz_to_uncompressed,regexColumn1,NFS_transfer,freebayes,unicycler,featurecounts,velvetoptimiser,bcftools_consensus,CONVERTER_bed_gff_or_vcf_to_bigwig_0,bowtie2,bwa_mem,__MERGE_COLLECTION__"
cast,"comp1,Heatmap,datamash_transpose,heatmap2,Show beginning1,ggplot2_heatmap2"
featurecounts,"cat1,edger,collection_element_identifiers,tp_cut_tool,deseq2,fastqc,Remove beginning1,Add_a_column1,samtools_sort,goseq,bedtools_intersectbed,Filter1,collection_column_join,multiqc,annotatemyids,Cut1,sort1,ChangeCase,tp_sort_rows,umi_tools_count,tp_easyjoin_tool,tp_sort_header_tool,diffexp,bamFilter,tp_tail_tool,tp_multijoin_tool,trim_galore,__TAG_FROM_FILE__,bowtie2"
deseq2,"tp_easyjoin_tool,tp_sort_header_tool,egsea,Add_a_column1,sort1,goseq,Filter1,join1,volcanoplot,dexseq_annotate,tp_cut_tool,Show beginning1,ggplot2_heatmap2,annotatemyids,hgv_david,Cut1,table_compute,deg_annotate,XY_Plot_1"
tp_easyjoin_tool,"cat1,comp1,tp_awk_tool,tp_replace_in_column,tp_cut_tool,Grep1,cardinal_filtering,tp_cat,Remove beginning1,ggplot2_point,Add_a_column1,DatamashOps,wc_gnu,Filter1,XY_Plot_1,Cut1,bg_uniq,tab2fasta,Grouping1,bg_column_arrange_by_header,sort1,tp_sorted_uniq,scatterplot_rpy,cardinal_classification,ggplot2_heatmap2,charts,tp_sort_header_tool,tp_tail_tool,join1"
samtools_flagstat,"tp_head_tool,tp_awk_tool,multiqc,Show beginning1"
datamash_ops,"Convert characters1,Univariate,random_lines1,tp_replace_in_column,Grep1,tp_cat,Remove beginning1,ggplot2_point,Add_a_column1,Filter1,regex1,datamash_transpose,collection_column_join,histogram_rpy,Cut1,tab2fasta,param_value_from_file,sort1,tp_easyjoin_tool,tp_sort_header_tool,tp_tail_tool,mergeCols1,join1"
mothur_merge_files,"mothur_summary_seqs,mothur_unique_seqs,metaphlan2,mothur_screen_seqs,mothur_make_group,mothur_count_seqs"
mothur_unique_seqs,"hmmer_hmmsearch,mothur_count_seqs,ncbi_blastn_wrapper,mothur_pairwise_seqs,minimap2,mothur_classify_seqs,mothur_split_abund,seq_filter_by_id,mothur_chimera_vsearch,mothur_trim_seqs,mothur_cluster,mothur_screen_seqs,mothur_get_oturep,mothur_align_seqs,mothur_pre_cluster,mothur_remove_seqs,mycrobiota-qc-report,mothur_split_groups,mothur_chimera_uchime,mothur_summary_seqs"
mothur_screen_seqs,"iReport,mothur_filter_seqs,mothur_summary_seqs,seq_filter_by_id,mothur_classify_seqs,wc_gnu,mothur_unique_seqs,metaphlan2,mothur_align_seqs,mothur_get_seqs,mothur_pre_cluster,mycrobiota-qc-report,fasta_filter_by_length,mothur_split_groups,mothur_count_seqs"
mothur_pre_cluster,"mothur_cluster_split,mothur_remove_lineage,mothur_classify_seqs,mothur_chimera_vsearch,mothur_classify_otu,mothur_remove_seqs,mothur_make_shared,mothur_chimera_uchime,mothur_summary_seqs"
mothur_remove_seqs,"mothur_cluster_split,mothur_remove_lineage,mothur_classify_seqs,mothur_split_abund,mothur_count_groups,mothur_classify_otu,mycrobiota-qc-report,mothur_make_shared,mothur_summary_seqs"
mothur_classify_seqs,"mothur_cluster_split,mothur_remove_lineage,taxonomy_krona_chart,mothur_classify_otu,sort1"
mothur_remove_lineage,"mothur_cluster_split,mothur_seq_error,mothur_summary_tax,mothur_get_groups,mothur_cluster,mothur_classify_otu,mothur_get_oturep,mycrobiota-qc-report,mothur_remove_groups,mothur_make_shared,mothur_dist_seqs,mothur_summary_seqs"
mothur_get_groups,"mothur_seq_error,mothur_cluster,mothur_remove_groups,mothur_make_shared,mothur_dist_seqs,mothur_summary_seqs"
mothur_dist_seqs,"mothur_cluster,mothur_get_oturep"
mothur_cluster,"mothur_make_shared,mothur_classify_otu,mothur_get_oturep"
mothur_make_shared,"mycrobiota-make-multi-otutable,mothur_dist_shared,mothur_summary_tax,mothur_make_lefse,mothur_count_groups,mothur_unifrac_unweighted,mothur_get_relabund,mothur_classify_otu,mothur_make_biom,mothur_unifrac_weighted,mothur_rarefaction_single,mothur_heatmap_sim,mycrobiota-correct-replicates,mothur_heatmap_bin,mothur_sub_sample,mothur_venn,mothur_summary_single"
mothur_unifrac_weighted,"mothur_homova,mothur_amova,mothur_nmds"
mothur_align_seqs,"mothur_pre_cluster,mothur_filter_seqs,mothur_screen_seqs,mothur_summary_seqs"
mothur_chimera_vsearch,"mothur_summary_seqs,mothur_remove_seqs"
stringtie,"tp_easyjoin_tool,collapse_dataset,tp_sort_header_tool,trinity_abundance_estimates_to_matrix,CONVERTER_gff_to_bed_0,stringtie_merge,bedtools_getfastabed,tp_multijoin_tool,Filter1,gffread,gffcompare,collection_column_join,tp_cut_tool,multiqc,deseq2,__BUILD_LIST__,Cut1,cuffmerge,cufflinks,tp_cat"
mothur_amova,qual_stats_boxplot
rna_star,"picard_SortSam,cuffdiff,samtool_filter2,rseqc_read_duplication,samtools_flagstat,picard_MarkDuplicates,tp_cut_tool,deseq2,stringtie,fastqc,cufflinks,htseq_count,deeptools_multi_bam_summary,sam_merge2,merge_pcr_duplicates.py,Add_a_column1,rseqc_bam_stat,samtools_sort,je_markdupes,samtools_stats,rseqc_junction_saturation,collection_column_join,__RELABEL_FROM_FILE__,picard_CollectInsertSizeMetrics,multiqc,rseqc_geneBody_coverage,rseqc_read_distribution,__FILTER_FAILED_DATASETS__,samtools_merge,deeptools_compute_matrix,qualimap_rnaseq,rgPicardMarkDups,deeptools_plot_fingerprint,picard_CASM,freebayes,samtools_rmdup,dexseq_count,bam_to_sam,deeptools_bam_coverage,featurecounts,bamFilter,deeptools_compute_gc_bias,umi_tools_dedup,rseqc_junction_annotation,samtools_idxstats,ngsutils_bam_filter,rseqc_infer_experiment"
mothur_make_group,"mothur_remove_lineage,mothur_screen_seqs,mothur_pre_cluster,mothur_make_design,mothur_count_seqs"
mothur_count_seqs,"mothur_remove_lineage,mothur_unique_seqs,mothur_screen_seqs,mothur_remove_seqs,mothur_pre_cluster,mycrobiota-qc-report,mothur_make_shared,mothur_summary_seqs"
mothur_summary_seqs,mothur_screen_seqs
mothur_cluster_split,"mothur_make_shared,mothur_classify_otu,mothur_get_oturep"
fastq_dump,"sickle,fastq_to_fasta_python,gffread,bwameth,__EXTRACT_DATASET__,spades,fastqc,cufflinks,__FLATTEN__,hisat2,fastq_paired_end_splitter,regex1,snippy,fastp,CONVERTER_gz_to_uncompressed,bowtie_wrapper,bowtie2,trimmomatic,fastq_paired_end_deinterlacer,fastq_groomer,fastq_trimmer,gffcompare,trim_galore,bwa_mem,cutadapt"
mothur_filter_seqs,"mothur_unique_seqs,mothur_summary_seqs,mothur_pre_cluster,mothur_classify_seqs"
sort1,"cat1,comp1,tp_awk_tool,gops_intersect_1,bedtools_mergebed,barchart_gnuplot,Grep1,tp_head_tool,tp_cat,Add_a_column1,cshl_awk_tool,bedtools_intersectbed,Filter1,deeptools_computeMatrix,addValue,datamash_ops,gops_subtract_1,histogram_rpy,Cut1,tab2fasta,Grouping1,cshl_multijoin,Show tail1,blockbuster,bedtools_getfastabed,Show beginning1,cshl_uniq_tool,tp_easyjoin_tool,tp_sort_header_tool,cummeRbund,methtools_destrand,tp_tail_tool,join1"
tp_cat,"fasta2tab,Convert characters1,tp_awk_tool,miranda,tp_cut_tool,samtools_bedcov,wc_gnu,bedtools_sortbed,DecoyDatabase,annotatemyids,porechop,viennarna_rnafold,umi_tools_extract,tp_sorted_uniq,scatterplot_rpy,Extract genomic DNA 1,qiime_pick_closed_reference_otus,cast,bcftools_consensus,bwa_mem,regionalgam_ab_index,spades,sRNAPipe,fastqc,cardinal_filtering,Remove beginning1,Add_a_column1,fasta_compute_length,bedtools_intersectbed,XY_Plot_1,__RELABEL_FROM_FILE__,snp_sites,cshl_fastq_to_fasta,mass_spectrometry_imaging_filtering,nspdk_sparse,regexColumn1,query_tabular,blast_parser,tp_sort_header_tool,fastq_paired_end_deinterlacer,filtlong,bowtie2,rbc_mirdeep2_quantifier,prinseq,datamash_ops,wig_to_bigWig,sort1,metaphlan2,_ensembl_gtf2gene_list,trimmomatic,anndata_manipulate,umi_tools_whitelist,minimap2,fastq_groomer,tp_multijoin_tool,join1,qiime_align_seqs,cd_hit_est,filter_by_fasta_ids,cat1,bwameth,je_demultiplex,tophat2,tp_replace_in_line,hisat2,DatamashOps,split_file_to_collection,cardinal_mz_images,Filter1,fasta_concatenate0,addValue,Cut1,w4mclassfilter,kraken2,Grouping1,vcfsort,p_clip_peaks,rbc_mirdeep2_mapper,ctb_chemfp_mol2fps,regionalgam_flight_curve,humann2,nanoplot,ggplot2_heatmap2,tp_easyjoin_tool,tp_uniq_tool,mergeCols1,bg_sortmerna"
mothur_remove_groups,"mothur_cluster_split,mothur_count_groups,mothur_classify_otu,qiime_make_phylogeny,mothur_heatmap_sim,mothur_make_shared"
mothur_dist_shared,"mothur_tree_shared,mothur_pcoa,mothur_nmds,mothur_heatmap_sim,mothur_amova,mothur_homova"
mothur_tree_shared,"mothur_parsimony,mothur_unifrac_weighted,newick_display,mothur_unifrac_unweighted"
mothur_sub_sample,"collapse_dataset,mothur_dist_shared,mothur_summary_tax,mothur_unifrac_unweighted,mothur_count_groups,mothur_make_biom,mothur_unifrac_weighted,mothur_rarefaction_single,mothur_venn,mothur_summary_single,mothur_metastats"
mothur_homova,qual_stats_boxplot
fastq_groomer,"bwa_wrapper,fastq_to_fasta_python,racon,peakcalling_macs,bwameth,bwa_mem,cshl_fastq_quality_filter,rna_star,fastqc,fastq_filter,tophat2,tp_cat,hisat2,bwa,cshl_fastx_reverse_complement,fastq_quality_trimmer,macs2_callpeak,bedtools_bamtobed,bowtie_wrapper,deeptools_bamCorrelate,trimmomatic,fastq_to_tabular,cshl_fastx_trimmer,tophat,velveth_jgi,unicycler,fastq_paired_end_joiner,__ZIP_COLLECTION__,cshl_fastx_quality_statistics,fastq_trimmer,filtlong,trim_galore,cshl_fastx_clipper,bismark_bowtie2,deeptools_bamCompare,bowtie2,je_clip,cutadapt"
rseqc_junction_annotation,"multiqc,addValue"
mergeCols1,"cat1,comp1,Paste1,Convert characters1,random_lines1,cshl_word_list_grep,tp_cut_tool,tp_replace_in_column,collapse_dataset,Add_a_column1,bedtools_intersectbed,Filter1,addValue,datamash_ops,Cut1,bg_uniq,tab2fasta,Grouping1,sort1,join1,cshl_awk_replace_in_column"
tp_sorted_uniq,"tp_easyjoin_tool,tp_sort_header_tool,Grouping1,Add_a_column1,ctb_rdkit_descriptors,regexColumn1,seqtk_subseq,Filter1,join1,tp_cut_tool,tp_sed_tool,gops_join_1,Cut1,Grep1,tp_cat"
mothur_make_contigs,"hmmer_hmmsearch,mothur_summary_seqs,seq_filter_by_id,mothur_unique_seqs,mothur_screen_seqs,mothur_merge_files,mothur_make_group,mothur_get_seqs,mothur_summary_qual,fasta_filter_by_length,fastqc,mothur_count_seqs"
mothur_classify_otu,"mothur_summary_tax,mothur_make_lefse,mothur_count_groups,mothur_sub_sample,mothur_make_biom,extract_element_from_collection,mothur_taxonomy_to_krona,krona-text"
mothur_taxonomy_to_krona,"krona-text,taxonomy_krona_chart"
XTandemAdapter,"PeptideIndexer,FileInfo,IDMerger,IDScoreSwitcher,FidoAdapter,TextExporter,IDFileConverter,IDPosteriorErrorProbability"
PeptideIndexer,"FileInfo,FalseDiscoveryRate,IDMerger,FidoAdapter,TextExporter,IDPosteriorErrorProbability,IDFilter"
IDPosteriorErrorProbability,"PeptideIndexer,FalseDiscoveryRate,FileInfo,IDMerger,ProteinInference,FidoAdapter,IDFilter"
FalseDiscoveryRate,"FileInfo,IDMerger,IDMapper,IDScoreSwitcher,FidoAdapter,ProteinInference,TextExporter,IDFileConverter,IDFilter,MzTabExporter,FileFilter"
IDFilter,"IDMassAccuracy,FileInfo,FalseDiscoveryRate,IDMerger,ProteinQuantifier,IDMapper,TextExporter,QCCalculator,ProteinResolver,SequenceCoverageCalculator,MzTabExporter,ConsensusID"
IDMerger,"PeptideIndexer,FileInfo,FalseDiscoveryRate,ProteinQuantifier,IDMapper,FidoAdapter,TextExporter,MzTabExporter,IDFilter,ConsensusID"
mothur_unifrac_unweighted,"mothur_amova,mothur_homova,mothur_nmds"
mothur_get_oturep,"fasttree,extract_element_from_collection"
extract_element_from_collection,"mycrobiota-make-multi-otutable,mycrobiota-otutable_add_blast,transpose,mycrobiota-correct-replicates"
mycrobiota-correct-replicates,"mycrobiota-make-multi-otutable,mothur_make_biom,mothur_rarefaction_single,mycrobiota-krona-mothur,mothur_summary_single"
mycrobiota-make-multi-otutable,"iReport,mycrobiota-otutable_add_blast,mycrobiota-split-multi-otutable"
mycrobiota-otutable_add_blast,iReport
aragorn_trna,"antismash,Extract_features1"
